id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
608,69S,small_airport,"Avey Field State/Laurier Airport",49,-118,1655,NA,US,US-WA,Laurier,no,,,69S
4650,03N,small_airport,"Utirik Airport",11,170,4,OC,MH,MH-UTI,"Utirik Island",yes,,UTK,03N
4777,0TT8,heliport,"Dynasty Heliport",15,146,150,OC,MP,MP-U-A,"San Jose, Tinian",no,0TT8,,0TT8
6523,00A,heliport,"Total RF Heliport",40,-75,11,NA,US,US-PA,Bensalem,no,K00A,,00A
6524,00AK,small_airport,"Lowell Field",60,-152,450,NA,US,US-AK,"Anchor Point",no,00AK,,00AK
6525,00AL,small_airport,"Epps Airpark",35,-87,820,NA,US,US-AL,Harvest,no,00AL,,00AL
6526,00AR,closed,"Newport Hospital & Clinic Heliport",36,-91,237,NA,US,US-AR,Newport,no,,,
6527,00AZ,small_airport,"Cordes Airport",34,-112,3810,NA,US,US-AZ,Cordes,no,00AZ,,00AZ
6528,00CA,small_airport,"Goldstone (GTS) Airport",35,-117,3038,NA,US,US-CA,Barstow,no,00CA,,00CA
6529,00CO,closed,"Cass Field",41,-104,4830,NA,US,US-CO,Briggsdale,no,,,
6530,01ID,small_airport,"Lava Hot Springs Airport",43,-112,5268,NA,US,US-ID,"Lava Hot Springs",no,01ID,,01ID
6531,00FA,small_airport,"Grass Patch Airport",29,-82,53,NA,US,US-FL,Bushnell,no,00FA,,00FA
6532,00FD,closed,"Ringhaver Heliport",29,-82,25,NA,US,US-FL,Riverview,no,,,
6533,00FL,small_airport,"River Oak Airport",27,-81,35,NA,US,US-FL,Okeechobee,no,00FL,,00FL
6534,00GA,small_airport,"Lt World Airport",34,-84,700,NA,US,US-GA,Lithonia,no,00GA,,00GA
6535,00GE,heliport,"Caffrey Heliport",34,-85,957,NA,US,US-GA,Hiram,no,00GE,,00GE
6536,00HI,heliport,"Kaupulehu Heliport",20,-156,43,OC,US,US-HI,Kailua-Kona,no,00HI,,00HI
6537,00ID,small_airport,"Delta Shores Airport",48,-116,2064,NA,US,US-ID,"Clark Fork",no,00ID,,00ID
6538,00II,closed,"Bailey Generation Station Heliport",42,-87,600,NA,US,US-IN,Chesterton,no,,,
6539,00IL,small_airport,"Hammer Airport",42,-90,840,NA,US,US-IL,Polo,no,00IL,,00IL
6540,00IN,heliport,"St Mary Medical Center Heliport",42,-87,634,NA,US,US-IN,Hobart,no,00IN,,00IN
